<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
的	166932
，	145508
。	99803
在	37407
是	26320
了	25628
和	22377
你	20887
我	20850
他	16013
一个	14865
我们	13872
、	12270
他们	10579
有	10406
中	10107
“	9635
上	9037
就	8828
”	8789
会	8539
对	8526
可以	8207
都	8087
也	7916
人	7818
这	7632
将	7257
她	7124
不	6941
它	6583
到	6571
而	6219
说	6174
—	5952
如果	5916
：	5823
与	5786
并	5505
这个	5424
被	5419
自己	5402
为	5180
把	5142
这些	5124
但	5114
没有	5038
可能	4747
从	4652
或	4577
来	4470
要	4458
但是	4397
让	4360
时	4338
（	4175
）	4156
,	4067
地	4031
着	4009
很	3952
因为	3884
能	3814
更	3551
？	3532
去	3520
做	3488
一些	3471
里	3460
当	3387
还	3356
需要	3356
问题	3050
不是	3045
以	3031
一种	2928
您	2915
已经	2876
就是	2848
用	2847
这种	2838
这样	2832
那	2829
或者	2803
进行	2800
给	2790
工作	2692
使用	2631
所有	2630
年	2626
时候	2619
所	2611
美国	2584
什么	2583
下	2519
们	2517
那些	2496
它们	2487
通过	2484
其	2422
开始	2400
多	2382
使	2365
现在	2360
中国	2356
后	2353
像	2247
其他	2246
知道	2245
最	2244
好	2218
想	2211
认为	2187
时间	2154
新	2141
研究	2140
任何	2088
于	2063
人们	2051
；	2037
以及	2030
那么	1980
又	1976
然后	1967
向	1919
公司	1913
应该	1912
发现	1854
能够	1837
生活	1815
该	1806
.	1801
必须	1772
提供	1736
个	1734
国家	1723
所以	1694
并且	1686
方法	1682
·	1682
一样	1675
世界	1675
作为	1655
对于	1651
过	1641
不会	1635
得	1600
大	1599
为了	1585
你们	1582
不能	1582
成为	1567
可	1552
看到	1537
而且	1535
》	1534
！	1533
希望	1524
孩子	1523
《	1523
-	1512
如何	1501
东西	1467
情况	1453
还是	1445
方式	1432
由	1408
等	1395
非常	1394
却	1393
因此	1388
重要	1384
许多	1362
发生	1361
事情	1354
帮助	1324
地方	1322
出	1318
影响	1307
一	1286
只是	1282
不同	1272
比	1269
很多	1267
得到	1264
每个	1262
一起	1241
